Point	Row	Column	FWHM_111
1	1	1	0.51577193
2	1	2	0.5451501
3	1	3	0.49390662
4	1	4	0.43329561
5	1	5	0.41342399
6	1	6	0.3985846
7	1	7	0.38143998
8	1	8	0.41869381
9	1	9	0.48804122
10	1	10	0.46370125
11	1	11	0.47623453
12	2	1	0.44871977
13	2	2	0.43038085
14	2	3	0.37293354
15	2	4	0.37231568
16	2	5	0.37907448
17	2	6	0.40330914
18	2	7	0.38143253
19	2	8	0.40704921
20	2	9	0.44427526
21	2	10	0.39389867
22	2	11	0.50853258
23	3	1	0.49013153
24	3	2	0.47129199
25	3	3	0.40284136
26	3	4	0.41010112
27	3	5	0.45674446
28	3	6	0.45738038
29	3	7	0.37562788
30	3	8	0.44344458
31	3	9	0.42306063
32	3	10	0.49717879
33	3	11	0.50094295
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	0.54836375
40	4	7	0.45885319
41	4	8	0.45850909
42	4	9	0.6770013
43	4	10	0.6776098
44	4	11	
