Point	Row	Column	Norm_Int110
1	1	1	26.686697
2	1	2	25.134888
3	1	3	23.340284
4	1	4	21.002218
5	1	5	19.909321
6	1	6	19.641272
7	1	7	20.455723
8	1	8	22.213095
9	1	9	23.776812
10	1	10	26.084614
11	1	11	22.345013
12	2	1	24.611771
13	2	2	24.439093
14	2	3	21.226252
15	2	4	19.603561
16	2	5	18.993019
17	2	6	18.774197
18	2	7	19.551838
19	2	8	21.086912
20	2	9	22.557709
21	2	10	25.703312
22	2	11	26.95133
23	3	1	26.331675
24	3	2	25.193029
25	3	3	23.83835
26	3	4	23.256893
27	3	5	22.952765
28	3	6	22.346062
29	3	7	23.280615
30	3	8	23.431843
31	3	9	24.821615
32	3	10	26.487934
33	3	11	26.870911
34	4	1	10.189817
35	4	2	8.1980667
36	4	3	7.939477
37	4	4	9.7138472
38	4	5	12.785493
39	4	6	18.900093
40	4	7	21.686386
41	4	8	25.730186
42	4	9	28.396656
43	4	10	29.568701
44	4	11	28.509804
