Point	Row	Column	110_s_Position
1	1	1	0.240503
2	1	2	0.2131138
3	1	3	0.1818718
4	1	4	0.1575032
5	1	5	0.13923161
6	1	6	0.12775058
7	1	7	0.12066159
8	1	8	0.11782901
9	1	9	0.11719979
10	1	10	0.1136684
11	1	11	0.1136702
12	2	1	0.23462281
13	2	2	0.2070348
14	2	3	0.18333881
15	2	4	0.16682579
16	2	5	0.1519676
17	2	6	0.1407112
18	2	7	0.13463899
19	2	8	0.133554
20	2	9	0.130979
21	2	10	0.13152359
22	2	11	0.1288062
23	3	1	0.22132578
24	3	2	0.19993719
25	3	3	0.18078418
26	3	4	0.1644064
27	3	5	0.15601601
28	3	6	0.14574321
29	3	7	0.14065559
30	3	8	0.1349674
31	3	9	0.13108018
32	3	10	0.1294464
33	3	11	0.12957738
34	4	1	0.20128357
35	4	2	0.1882212
36	4	3	0.17744999
37	4	4	0.17075901
38	4	5	0.16533419
39	4	6	0.1600298
40	4	7	0.1566198
41	4	8	0.15560982
42	4	9	0.15279461
43	4	10	0.15339042
44	4	11	0.15038599
