Point	Row	Column	_s_MaxIntensity
1	1	1	0.092657603
2	1	2	0.1029718
3	1	3	0.109877
4	1	4	0.1111972
5	1	5	0.1133092
6	1	6	0.11807038
7	1	7	0.12376489
8	1	8	0.12365631
9	1	9	0.12934108
10	1	10	0.130466
11	1	11	0.12568641
12	2	1	0.084664799
13	2	2	0.1020476
14	2	3	0.1147644
15	2	4	0.12436889
16	2	5	0.1246144
17	2	6	0.1296028
18	2	7	0.1340348
19	2	8	0.1431846
20	2	9	0.1522938
21	2	10	0.15054201
22	2	11	0.1417184
23	3	1	0.085198089
24	3	2	0.1068066
25	3	3	0.11465789
26	3	4	0.1224518
27	3	5	0.1275734
28	3	6	0.1284364
29	3	7	0.13825108
30	3	8	0.149983
31	3	9	0.14845568
32	3	10	0.14210279
33	3	11	0.12882389
34	4	1	0.096590489
35	4	2	0.1077846
36	4	3	0.11580749
37	4	4	0.111082
38	4	5	0.1101508
39	4	6	0.1133164
40	4	7	0.1105724
41	4	8	0.11534851
42	4	9	0.11452811
43	4	10	0.09583351
44	4	11	0.085672691
