Point	Row	Column	_s_FWHM
1	1	1	0.44311321
2	1	2	0.4632248
3	1	3	0.4757584
4	1	4	0.48262361
5	1	5	0.4879176
6	1	6	0.49201411
7	1	7	0.50048655
8	1	8	0.51718187
9	1	9	0.53203833
10	1	10	0.55027521
11	1	11	0.55876219
12	2	1	0.49156621
13	2	2	0.52203441
14	2	3	0.54071462
15	2	4	0.55114216
16	2	5	0.55005401
17	2	6	0.55970597
18	2	7	0.56733477
19	2	8	0.58406419
20	2	9	0.60104078
21	2	10	0.61722457
22	2	11	0.61411017
23	3	1	0.55942553
24	3	2	0.59054917
25	3	3	0.60108632
26	3	4	0.61191058
27	3	5	0.61714339
28	3	6	0.61641622
29	3	7	0.63286215
30	3	8	0.65503961
31	3	9	0.6583569
32	3	10	0.64874917
33	3	11	0.63796014
34	4	1	0.62228614
35	4	2	0.64272082
36	4	3	0.65554512
37	4	4	0.65464979
38	4	5	0.65493798
39	4	6	0.66083401
40	4	7	0.66017681
41	4	8	0.67022508
42	4	9	0.66188025
43	4	10	0.63559246
44	4	11	0.61517674
