Point	Row	Column	PeakArea_110
1	1	1	14.988413
2	1	2	14.469387
3	1	3	13.146359
4	1	4	12.746502
5	1	5	12.24842
6	1	6	12.206307
7	1	7	12.037663
8	1	8	12.493497
9	1	9	13.682446
10	1	10	14.480273
11	1	11	13.597297
12	2	1	14.459314
13	2	2	14.219443
14	2	3	13.173576
15	2	4	12.150055
16	2	5	11.652853
17	2	6	11.823715
18	2	7	12.158351
19	2	8	12.620463
20	2	9	13.087147
21	2	10	14.445744
22	2	11	15.142515
23	3	1	15.194833
24	3	2	14.195588
25	3	3	13.746858
26	3	4	13.395121
27	3	5	13.399981
28	3	6	13.706279
29	3	7	13.898449
30	3	8	13.343526
31	3	9	14.190001
32	3	10	15.038253
33	3	11	15.189525
34	4	1	6.280396
35	4	2	5.6688089
36	4	3	6.543756
37	4	4	6.5758862
38	4	5	8.7034845
39	4	6	10.87365
40	4	7	12.864942
41	4	8	14.953157
42	4	9	16.194294
43	4	10	17.624186
44	4	11	16.798531
