Point	Row	Column	Pos_200
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	43.555149
9	1	9	43.653431
10	1	10	
11	1	11	
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	43.431267
19	2	8	43.45734
20	2	9	43.456829
21	2	10	43.492634
22	2	11	
23	3	1	43.563171
24	3	2	43.456905
25	3	3	43.46521
26	3	4	43.40649
27	3	5	43.34594
28	3	6	43.334976
29	3	7	43.326942
30	3	8	43.330143
31	3	9	43.360092
32	3	10	43.349552
33	3	11	43.394634
34	4	1	43.527657
35	4	2	
36	4	3	
37	4	4	43.36446
38	4	5	43.389519
39	4	6	43.382339
40	4	7	43.414494
41	4	8	43.451862
42	4	9	43.495098
43	4	10	
44	4	11	43.574268
