Point	Row	Column	Pos_111
1	1	1	37.746223
2	1	2	37.696957
3	1	3	37.663025
4	1	4	37.601131
5	1	5	37.566483
6	1	6	37.563725
7	1	7	37.564964
8	1	8	37.597931
9	1	9	37.641312
10	1	10	37.698807
11	1	11	37.743885
12	2	1	37.700943
13	2	2	37.626297
14	2	3	37.556908
15	2	4	37.515491
16	2	5	37.490711
17	2	6	37.488602
18	2	7	37.47987
19	2	8	37.475014
20	2	9	37.508953
21	2	10	37.530632
22	2	11	37.554054
23	3	1	37.591873
24	3	2	37.521702
25	3	3	37.482433
26	3	4	37.461319
27	3	5	37.438004
28	3	6	37.426647
29	3	7	37.435471
30	3	8	37.450459
31	3	9	37.437912
32	3	10	37.454819
33	3	11	37.432987
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	37.533421
40	4	7	37.511612
41	4	8	37.506237
42	4	9	37.525848
43	4	10	37.550369
44	4	11	
