Point	Row	Column	PeakArea_110
1	1	1	13.369964
2	1	2	9.904707
3	1	3	8.1482096
4	1	4	5.086833
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	4.7142944
10	1	10	8.3778133
11	1	11	11.003183
12	2	1	13.723079
13	2	2	9.9295797
14	2	3	8.4130735
15	2	4	3.9455707
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	6.2150893
23	3	1	11.361525
24	3	2	9.0408125
25	3	3	7.9552135
26	3	4	4.4761705
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	3.8470082
34	4	1	13.622719
35	4	2	11.287604
36	4	3	9.1057177
37	4	4	8.1497421
38	4	5	6.971283
39	4	6	5.277504
40	4	7	2.8289092
41	4	8	2.6569905
42	4	9	4.567265
43	4	10	7.8722234
44	4	11	9.5347815
