Point	Row	Column	FWHM_111
1	1	1	0.56055421
2	1	2	0.47524357
3	1	3	0.46168986
4	1	4	0.46107176
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	0.46035355
10	1	10	0.46576586
11	1	11	0.53582138
12	2	1	0.53761888
13	2	2	0.51952696
14	2	3	0.43835944
15	2	4	0.4485378
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	0.42887488
23	3	1	0.48318574
24	3	2	0.46985105
25	3	3	0.43465075
26	3	4	0.50149447
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	0.54760242
34	4	1	0.53264809
35	4	2	0.43318745
36	4	3	0.45483467
37	4	4	0.45905057
38	4	5	0.4516755
39	4	6	0.55324394
40	4	7	
41	4	8	
42	4	9	0.66204172
43	4	10	0.44090891
44	4	11	0.41521809
