Point	Row	Column	Norm_d
1	1	1	0.30293992
2	1	2	0.37991762
3	1	3	0.46215028
4	1	4	0.51512569
5	1	5	0.54566115
6	1	6	0.55475074
7	1	7	0.51242721
8	1	8	0.45377076
9	1	9	0.37650901
10	1	10	0.28689107
11	1	11	0.1775316
12	2	1	0.58770061
13	2	2	0.71069449
14	2	3	0.83425647
15	2	4	0.92032379
16	2	5	0.97997445
17	2	6	1
18	2	7	0.98125267
19	2	8	0.91719925
20	2	9	0.83766508
21	2	10	0.7141031
22	2	11	0.57292998
23	3	1	0.44865787
24	3	2	0.58457607
25	3	3	0.69350946
26	3	4	0.79832411
27	3	5	0.86919475
28	3	6	0.91009802
29	3	7	0.91180229
30	3	8	0.88268709
31	3	9	0.80528337
32	3	10	0.69379348
33	3	11	0.56824315
34	4	1	0
35	4	2	0.092316434
36	4	3	0.18307059
37	4	4	0.26686549
38	4	5	0.32026702
39	4	6	0.35364294
40	4	7	0.37608296
41	4	8	0.35932395
42	4	9	0.32949865
43	4	10	0.25877005
44	4	11	0.19201818
