Point	Row	Column	Y_at
1	1	1	0.020172
2	1	2	0.0233796
3	1	3	0.0288419
4	1	4	0.028712602
5	1	5	0.0310781
6	1	6	0.035373099
7	1	7	0.0359408
8	1	8	0.039891999
9	1	9	0.0439585
10	1	10	0.043155696
11	1	11	0.043948598
12	2	1	0.021545397
13	2	2	0.024869798
14	2	3	0.0311676
15	2	4	0.032167397
16	2	5	0.034687605
17	2	6	0.038522094
18	2	7	0.040755399
19	2	8	0.043083999
20	2	9	0.0478715
21	2	10	0.046540204
22	2	11	0.051675994
23	3	1	0.021416202
24	3	2	0.0262208
25	3	3	0.024684399
26	3	4	0.028754501
27	3	5	0.034081206
28	3	6	0.0370492
29	3	7	0.038045496
30	3	8	0.042820904
31	3	9	0.044030704
32	3	10	0.046955701
33	3	11	0.047697902
34	4	1	0.019213401
35	4	2	0.0210621
36	4	3	0.024752798
37	4	4	0.0296438
38	4	5	0.031224299
39	4	6	0.032908201
40	4	7	0.0354039
41	4	8	0.033995803
42	4	9	0.0395962
43	4	10	0.040231999
44	4	11	0.042110294
