Point	Row	Column	Pos_110
1	1	1	30.892605
2	1	2	30.980181
3	1	3	31.007715
4	1	4	30.917177
5	1	5	30.845678
6	1	6	
7	1	7	
8	1	8	
9	1	9	30.866327
10	1	10	30.923759
11	1	11	30.857782
12	2	1	30.908564
13	2	2	30.987213
14	2	3	30.996824
15	2	4	30.879997
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	30.798353
22	2	11	30.84668
23	3	1	30.978025
24	3	2	31.0224
25	3	3	30.995411
26	3	4	30.888288
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	30.813755
34	4	1	30.851614
35	4	2	30.968731
36	4	3	31.01721
37	4	4	31.018688
38	4	5	30.979504
39	4	6	30.94198
40	4	7	30.908005
41	4	8	30.89612
42	4	9	30.889019
43	4	10	30.937288
44	4	11	30.919827
