Point	Row	Column	MaxInt_111
1	1	1	471.47018
2	1	2	685.96252
3	1	3	946.89154
4	1	4	527.20544
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	421.17838
10	1	10	820.39368
11	1	11	539.38678
12	2	1	667.14386
13	2	2	915.93744
14	2	3	1122.0475
15	2	4	420.46658
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	592.16803
23	3	1	632.82935
24	3	2	989.56586
25	3	3	1006.2534
26	3	4	459.14999
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	319.71588
34	4	1	471.75043
35	4	2	474.08054
36	4	3	750.35455
37	4	4	791.91791
38	4	5	690.85858
39	4	6	439.22058
40	4	7	
41	4	8	
42	4	9	388.17529
43	4	10	717.85626
44	4	11	725.10345
