Point	Row	Column	Frac_111
1	1	1	0.12429624
2	1	2	0.23477782
3	1	3	0.34127021
4	1	4	0.33231258
5	1	5	0
6	1	6	0
7	1	7	0
8	1	8	0
9	1	9	0.2882424
10	1	10	0.32781512
11	1	11	0.19315852
12	2	1	0.15063512
13	2	2	0.2509802
14	2	3	0.34262648
15	2	4	0.30932039
16	2	5	0
17	2	6	0
18	2	7	0
19	2	8	0
20	2	9	0
21	2	10	0
22	2	11	0.27720934
23	3	1	0.18679138
24	3	2	0.31505373
25	3	3	0.34288299
26	3	4	0.30741936
27	3	5	0
28	3	6	0
29	3	7	0
30	3	8	0
31	3	9	0
32	3	10	0
33	3	11	0.25863189
34	4	1	0.13653372
35	4	2	0.17109606
36	4	3	0.29697847
37	4	4	0.32682118
38	4	5	0.3186686
39	4	6	0.30180645
40	4	7	0
41	4	8	0
42	4	9	0.28670484
43	4	10	0.31311211
44	4	11	0.2879436
