Point	Row	Column	_s_MaxIntensity
1	1	1	0.076786093
2	1	2	0.085387602
3	1	3	0.086901106
4	1	4	0.094391309
5	1	5	0.087696493
6	1	6	0.085772
7	1	7	0.085118398
8	1	8	0.080843002
9	1	9	0.083071798
10	1	10	0.086063199
11	1	11	0.1014592
12	2	1	0.096185692
13	2	2	0.10067269
14	2	3	0.10593209
15	2	4	0.10497571
16	2	5	0.10295411
17	2	6	0.10269769
18	2	7	0.097123109
19	2	8	0.10057891
20	2	9	0.099285491
21	2	10	0.097626001
22	2	11	0.1036808
23	3	1	0.088128
24	3	2	0.097461507
25	3	3	0.10067191
26	3	4	0.10336851
27	3	5	0.1002976
28	3	6	0.10022842
29	3	7	0.10438629
30	3	8	0.098092891
31	3	9	0.099506997
32	3	10	0.1049724
33	3	11	0.10227189
34	4	1	0.075664602
35	4	2	0.086384803
36	4	3	0.088920891
37	4	4	0.090777598
38	4	5	0.092352599
39	4	6	0.089303203
40	4	7	0.087155402
41	4	8	0.087794803
42	4	9	0.084899202
43	4	10	0.092642091
44	4	11	0.1013422
