Point	Row	Column	x_mm
1	1	1	5.3979998
2	1	2	9.3959999
3	1	3	13.39399
4	1	4	17.392
5	1	5	21.38999
6	1	6	25.388
7	1	7	29.386021
8	1	8	33.38401
9	1	9	37.382011
10	1	10	41.37999
11	1	11	45.377991
12	2	1	5.3979998
13	2	2	9.3979797
14	2	3	13.39399
15	2	4	17.392
16	2	5	21.38999
17	2	6	25.388
18	2	7	29.386021
19	2	8	33.38401
20	2	9	37.382011
21	2	10	41.37999
22	2	11	45.377991
23	3	1	5.3979998
24	3	2	9.3959999
25	3	3	13.39399
26	3	4	17.392
27	3	5	21.38999
28	3	6	25.388
29	3	7	29.386021
30	3	8	33.38401
31	3	9	37.382011
32	3	10	41.37999
33	3	11	45.377991
34	4	1	5.4000001
35	4	2	9.3959999
36	4	3	13.39399
37	4	4	17.392
38	4	5	21.38999
39	4	6	25.388
40	4	7	29.386021
41	4	8	33.38401
42	4	9	37.382011
43	4	10	41.37999
44	4	11	45.377991
