Point	Row	Column	_s_Sigma
1	1	1	0.18650718
2	1	2	0.1790722
3	1	3	0.17014322
4	1	4	0.16707982
5	1	5	0.15553899
6	1	6	0.1448296
7	1	7	0.1378396
8	1	8	0.12500019
9	1	9	0.1156222
10	1	10	0.1040252
11	1	11	0.1007008
12	2	1	0.19619918
13	2	2	0.18903978
14	2	3	0.18448098
15	2	4	0.17379242
16	2	5	0.15622142
17	2	6	0.14694959
18	2	7	0.14095181
19	2	8	0.12964201
20	2	9	0.12091159
21	2	10	0.1049502
22	2	11	0.099853799
23	3	1	0.193184
24	3	2	0.18565862
25	3	3	0.17720962
26	3	4	0.16582702
27	3	5	0.15450381
28	3	6	0.14205703
29	3	7	0.13929099
30	3	8	0.11973318
31	3	9	0.1139616
32	3	10	0.1083844
33	3	11	0.096793592
34	4	1	0.173737
35	4	2	0.17666499
36	4	3	0.17036958
37	4	4	0.1567322
38	4	5	0.15208121
39	4	6	0.13656799
40	4	7	0.1303146
41	4	8	0.12710141
42	4	9	0.1113642
43	4	10	0.11039959
44	4	11	0.1007118
