Point	Row	Column	_s_Area
1	1	1	0.029866397
2	1	2	0.030265899
3	1	3	0.028625904
4	1	4	0.028629703
5	1	5	0.028142598
6	1	6	0.0275767
7	1	7	0.032550398
8	1	8	0.032492202
9	1	9	0.029251801
10	1	10	0.037002198
11	1	11	0.053873599
12	2	1	0.029183498
13	2	2	0.028659398
14	2	3	0.028924497
15	2	4	0.027261604
16	2	5	0.026857803
17	2	6	0.027759697
18	2	7	0.026602203
19	2	8	0.027008303
20	2	9	0.026949698
21	2	10	0.033638399
22	2	11	0.043220799
23	3	1	0.028763
24	3	2	0.028207403
25	3	3	0.026881102
26	3	4	0.027872803
27	3	5	0.029221499
28	3	6	0.026783705
29	3	7	0.026222097
30	3	8	0.025432598
31	3	9	0.0284195
32	3	10	0.029545801
33	3	11	0.042017795
34	4	1	0.0316405
35	4	2	0.0310586
36	4	3	0.031890098
37	4	4	0.030429101
38	4	5	0.0292139
39	4	6	0.027547
40	4	7	0.0264645
41	4	8	0.027787499
42	4	9	0.0287083
43	4	10	0.032699395
44	4	11	0.044517402
