Point	Row	Column	Zr_at
1	1	1	0.41527307
2	1	2	0.4228918
3	1	3	0.42975304
4	1	4	0.43502605
5	1	5	0.43793616
6	1	6	0.44289449
7	1	7	0.441089
8	1	8	0.44542921
9	1	9	0.45447299
10	1	10	0.4540168
11	1	11	0.44650561
12	2	1	0.42080975
13	2	2	0.42715704
14	2	3	0.43180105
15	2	4	0.43833005
16	2	5	0.44650856
17	2	6	0.45011437
18	2	7	0.45148346
19	2	8	0.45846015
20	2	9	0.46223724
21	2	10	0.4626995
22	2	11	0.4586927
23	3	1	0.41870901
24	3	2	0.42769405
25	3	3	0.43485004
26	3	4	0.44089794
27	3	5	0.4436754
28	3	6	0.45230198
29	3	7	0.45632556
30	3	8	0.46374726
31	3	9	0.4643532
32	3	10	0.46874821
33	3	11	0.46072134
34	4	1	0.4193233
35	4	2	0.4238013
36	4	3	0.42738557
37	4	4	0.43659359
38	4	5	0.44092181
39	4	6	0.44882059
40	4	7	0.45195591
41	4	8	0.4525592
42	4	9	0.45805919
43	4	10	0.45842186
44	4	11	0.45579779
