Point	ASR
1	3.7755347e+08
2	7.7413869e+08
3	9.3965037e+08
4	1.6383082e+09
5	6.568599e+08
6	2.9263621e+09
7	5.8722824e+10
8	2.3467112e+10
9	8.6667117e+08
10	4.0639485e+08
11	7.2668493e+08
12	6.532502e+09
13	1.1942124e+09
14	5.32224e+08
15	1.5740982e+09
16	5.8182298e+08
17	3.7810199e+09
18	6.7252077e+08
19	9.8194874e+08
20	2.9200477e+08
21	2.6574198e+09
22	9.6183315e+08
23	1.3235468e+09
24	4.6286499e+08
25	2.0095797e+10
26	1.7145242e+09
27	8.9998899e+09
28	8.2446541e+10
29	4.3772314e+08
30	2.1732846e+09
31	2.1601592e+09
32	1.5229765e+09
33	8.164151e+08
34	8.32632e+08
35	1.9793491e+09
36	2.633506e+10
37	33238118
38	4.1002621e+09
39	8.3183718e+08
40	2.4560972e+10
41	1.0130756e+09
42	9.5104179e+08
43	7.7626867e+08
44	2.5750687e+09
45	25036608
46	1.1052317e+09
47	2.3023444e+09
48	4.4233626e+09
49	5.2926224e+08
50	1.2134643e+09
51	3.7794595e+10
52	2.6314734e+08
53	2.0496462e+10
54	7.7880429e+08
55	3.6687613e+09
56	5.337327e+08
57	1.3185265e+09
58	5.4255302e+08
59	4.073279e+08
60	7.0579994e+08
61	6.1854502e+08
62	3.8272074e+09
63	1.4760868e+09
64	1.3666525e+09
65	2.705345e+08
66	1.1174802e+09
67	9.6491443e+08
68	5.1994928e+08
69	1590122.8
70	8.0111238e+08
71	1.2935731e+11
72	5.0103754e+08
73	3.9919145e+10
74	81050888
75	3.8639578e+08
76	1.3707563e+08
77	2.0502034e+10
78	3.6402262e+08
79	5.7085286e+08
80	4.0988547e+08
81	1.4934189e+09
82	6.1330483e+08
83	1.4599296e+08
84	1.1506774e+09
85	2.7773846e+08
86	7.1590615e+09
87	2.6165399e+09
88	8.5149916e+09
89	4.4673449e+09
90	1.1219059e+11
91	1.1495093e+08
92	3.8797098e+08
93	3.5639734e+08
94	1.2462729e+09
95	67430392
96	9.023408e+08
97	2.1783803e+09
98	4.6149996e+09
99	3.5352374e+09
100	1.3331442e+08
101	8.5053766e+08
102	3.3694198e+08
103	8.0629293e+08
104	9.0212342e+09
105	4.4868698e+08
106	5.7855571e+08
107	5.8838323e+08
108	1.8972078e+09
109	7.8411328e+08
110	1.5279698e+10
111	2.6322619e+08
112	1.8097496e+10
113	3.7927035e+09
114	4.6276854e+08
115	9.0319686e+08
116	1.5399553e+09
117	1.8002884e+09
118	51188484
119	3.7342573e+08
120	3.0450642e+09
121	34329440
122	3.2996145e+09
123	1.3071162e+08
124	83949952
125	9125950
126	2.7086499e+08
127	1.1390284e+09
128	1.3660798e+10
129	4.6725473e+09
130	1.9367447e+09
131	1.7539512e+08
132	7.0798304e+08
