Point	Row	Column	Norm_Int110
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	5.5516105
7	1	7	12.039112
8	1	8	18.165867
9	1	9	22.24774
10	1	10	21.959116
11	1	11	20.886711
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	1.2605871
19	2	8	9.3464975
20	2	9	16.250641
21	2	10	17.072296
22	2	11	13.689457
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	1.8566126
31	3	9	2.1426082
32	3	10	2.8882713
33	3	11	
34	4	1	2.7386045
35	4	2	
36	4	3	1.5282872
37	4	4	3.0133655
38	4	5	4.5158157
39	4	6	6.5286169
40	4	7	7.3366866
41	4	8	4.0333567
42	4	9	
43	4	10	
44	4	11	
