Point	Row	Column	d_um
1	1	1	0.12657
2	1	2	0.13029
3	1	3	0.13123
4	1	4	0.13085
5	1	5	0.12777001
6	1	6	0.12402
7	1	7	0.11627
8	1	8	0.10822
9	1	9	0.098750003
10	1	10	0.089720003
11	1	11	0.07976
12	2	1	0.16282
13	2	2	0.17143001
14	2	3	0.17452
15	2	4	0.17482001
16	2	5	0.17347001
17	2	6	0.16556001
18	2	7	0.15516999
19	2	8	0.14336
20	2	9	0.12970001
21	2	10	0.11702
22	2	11	0.10418
23	3	1	0.16936
24	3	2	0.17460001
25	3	3	0.18065999
26	3	4	0.18096
27	3	5	0.17824
28	3	6	0.1735
29	3	7	0.16399001
30	3	8	0.15113001
31	3	9	0.13770001
32	3	10	0.12319
33	3	11	0.11076
34	4	1	0.13644999
35	4	2	0.14117
36	4	3	0.14568
37	4	4	0.14624999
38	4	5	0.14701
39	4	6	0.14303
40	4	7	0.13412
41	4	8	0.12636
42	4	9	0.11781
43	4	10	0.1073
44	4	11	0.096150003
