Point	Row	Column	a_Ang
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	4.195682
7	1	7	4.1811786
8	1	8	4.175776
9	1	9	4.1726155
10	1	10	4.1731839
11	1	11	4.1742973
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	4.2029371
19	2	8	4.1813545
20	2	9	4.1716876
21	2	10	4.1709957
22	2	11	4.1741962
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	4.1970282
31	3	9	4.1991935
32	3	10	4.1941824
33	3	11	
34	4	1	4.178916
35	4	2	
36	4	3	4.1810818
37	4	4	4.1794744
38	4	5	4.1773734
39	4	6	4.1730146
40	4	7	4.1702199
41	4	8	4.1814971
42	4	9	
43	4	10	
44	4	11	
