Point	Row	Column	Co_at
1	1	1	0.023512855
2	1	2	0.025126377
3	1	3	0.024177408
4	1	4	0.023430225
5	1	5	0.023588212
6	1	6	0.024245152
7	1	7	0.0264713
8	1	8	0.024538791
9	1	9	0.025373232
10	1	10	0.026916994
11	1	11	0.026226919
12	2	1	0.021970537
13	2	2	0.022385946
14	2	3	0.023111744
15	2	4	0.023020135
16	2	5	0.023308286
17	2	6	0.023420019
18	2	7	0.021500764
19	2	8	0.024112379
20	2	9	0.024669226
21	2	10	0.023253581
22	2	11	0.025793159
23	3	1	0.022957074
24	3	2	0.020961231
25	3	3	0.023403514
26	3	4	0.021575142
27	3	5	0.022903645
28	3	6	0.022247648
29	3	7	0.022295458
30	3	8	0.023945268
31	3	9	0.022498989
32	3	10	0.024273923
33	3	11	0.023092313
34	4	1	0.022944946
35	4	2	0.023515584
36	4	3	0.023342896
37	4	4	0.024750719
38	4	5	0.022003971
39	4	6	0.024705289
40	4	7	0.022951975
41	4	8	0.024443123
42	4	9	0.022905383
43	4	10	0.024159558
44	4	11	0.025608255
