Point	Row	Column	Norm_d
1	1	1	0.46254942
2	1	2	0.49930829
3	1	3	0.50859684
4	1	4	0.50484192
5	1	5	0.47440711
6	1	6	0.43735179
7	1	7	0.36077076
8	1	8	0.28122529
9	1	9	0.18764822
10	1	10	0.098418973
11	1	11	0
12	2	1	0.82075101
13	2	2	0.90583003
14	2	3	0.93636364
15	2	4	0.93932807
16	2	5	0.92598814
17	2	6	0.84782606
18	2	7	0.74515808
19	2	8	0.6284585
20	2	9	0.49347827
21	2	10	0.36818182
22	2	11	0.24130435
23	3	1	0.8853755
24	3	2	0.93715417
25	3	3	0.99703556
26	3	4	1
27	3	5	0.97312254
28	3	6	0.92628461
29	3	7	0.83231223
30	3	8	0.70523715
31	3	9	0.57252967
32	3	10	0.42915019
33	3	11	0.30632412
34	4	1	0.56017786
35	4	2	0.6068182
36	4	3	0.6513834
37	4	4	0.6570158
38	4	5	0.66452569
39	4	6	0.62519765
40	4	7	0.53715414
41	4	8	0.46047431
42	4	9	0.37598816
43	4	10	0.27213439
44	4	11	0.16195652
