Point	Row	Column	Norm_d
1	1	1	0.12480336
2	1	2	0.2560741
3	1	3	0.36112568
4	1	4	0.45009613
5	1	5	0.52735537
6	1	6	0.558294
7	1	7	0.54483479
8	1	8	0.48453069
9	1	9	0.39363748
10	1	10	0.27075687
11	1	11	0.20031463
12	2	1	0.40447474
13	2	2	0.57210279
14	2	3	0.74462509
15	2	4	0.87152594
16	2	5	0.93270409
17	2	6	1
18	2	7	0.95245588
19	2	8	0.9000175
20	2	9	0.76053137
21	2	10	0.60583812
22	2	11	0.45708793
23	3	1	0.35955253
24	3	2	0.52770495
25	3	3	0.69341022
26	3	4	0.81349415
27	3	5	0.90403777
28	3	6	0.92448872
29	3	7	0.90508652
30	3	8	0.84355885
31	3	9	0.71421081
32	3	10	0.55095261
33	3	11	0.42684844
34	4	1	0
35	4	2	0.1298724
36	4	3	0.24541163
37	4	4	0.33141059
38	4	5	0.40395036
39	4	6	0.43733612
40	4	7	0.40482435
41	4	8	0.33350813
42	4	9	0.28037056
43	4	10	0.14717707
44	4	11	0.021324944
