Point	Row	Column	Y_at
1	1	1	0.087151751
2	1	2	0.088044427
3	1	3	0.091293663
4	1	4	0.087803446
5	1	5	0.085957557
6	1	6	0.085660011
7	1	7	0.085978687
8	1	8	0.087687105
9	1	9	0.087362677
10	1	10	0.083832741
11	1	11	0.087032557
12	2	1	0.090123162
13	2	2	0.088838622
14	2	3	0.090988167
15	2	4	0.090751253
16	2	5	0.089100286
17	2	6	0.090211622
18	2	7	0.087739497
19	2	8	0.090950392
20	2	9	0.088372305
21	2	10	0.084861375
22	2	11	0.08651901
23	3	1	0.090127446
24	3	2	0.086339265
25	3	3	0.089683309
26	3	4	0.090180434
27	3	5	0.09091229
28	3	6	0.091758661
29	3	7	0.089610167
30	3	8	0.089598589
31	3	9	0.08880502
32	3	10	0.087911345
33	3	11	0.08455947
34	4	1	0.084713385
35	4	2	0.085640669
36	4	3	0.089442194
37	4	4	0.087098628
38	4	5	0.089271732
39	4	6	0.089419082
40	4	7	0.089185312
41	4	8	0.086967044
42	4	9	0.0849161
43	4	10	0.082412407
44	4	11	0.083259732
