Point	Row	Column	Pos_110
1	1	1	30.484741
2	1	2	30.5343
3	1	3	30.587349
4	1	4	30.60528
5	1	5	30.731741
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	30.90588
11	1	11	30.720739
12	2	1	30.501652
13	2	2	30.679996
14	2	3	30.783617
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	31.008577
22	2	11	30.847258
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	31.109499
31	3	9	31.06716
32	3	10	31.054228
33	3	11	30.886358
34	4	1	30.864794
35	4	2	30.88521
36	4	3	30.802551
37	4	4	30.663994
38	4	5	30.762539
39	4	6	30.749023
40	4	7	30.757345
41	4	8	30.871712
42	4	9	30.930889
43	4	10	30.928032
44	4	11	30.961428
