Point	Row	Column	_s_MaxIntensity
1	1	1	0.038539305
2	1	2	0.040165305
3	1	3	0.034716401
4	1	4	0.031126
5	1	5	0.034436297
6	1	6	0.030504096
7	1	7	0.021225702
8	1	8	0.0223614
9	1	9	0.021599902
10	1	10	0.030466599
11	1	11	0.037165705
12	2	1	0.029593296
13	2	2	0.0288694
14	2	3	0.030227801
15	2	4	0.031405702
16	2	5	0.0267554
17	2	6	0.025493599
18	2	7	0.024832698
19	2	8	0.023215801
20	2	9	0.023229601
21	2	10	0.026525799
22	2	11	0.031457104
23	3	1	0.0262194
24	3	2	0.0318758
25	3	3	0.038508002
26	3	4	0.029614801
27	3	5	0.028508697
28	3	6	0.019883201
29	3	7	0.0206882
30	3	8	0.040713601
31	3	9	0.022162497
32	3	10	0.025024302
33	3	11	0.029620497
34	4	1	0.044559401
35	4	2	0.0317908
36	4	3	0.029733896
37	4	4	0.031875096
38	4	5	0.031940799
39	4	6	0.034998704
40	4	7	0.027054504
41	4	8	0.030804001
42	4	9	0.0324618
43	4	10	0.034302097
44	4	11	0.041933201
