Point	Row	Column	d_um
1	1	1	0.15131
2	1	2	0.15493999
3	1	3	0.15523
4	1	4	0.15106
5	1	5	0.14368001
6	1	6	0.13376001
7	1	7	0.12089
8	1	8	0.10828
9	1	9	0.095150001
10	1	10	0.083250001
11	1	11	0.071900003
12	2	1	0.13162
13	2	2	0.13501
14	2	3	0.13651
15	2	4	0.13429999
16	2	5	0.12954
17	2	6	0.12169
18	2	7	0.11175
19	2	8	0.10122
20	2	9	0.090769999
21	2	10	0.080370001
22	2	11	0.070029996
23	3	1	0.089780003
24	3	2	0.092270002
25	3	3	0.093900003
26	3	4	0.093790002
27	3	5	0.091399997
28	3	6	0.088469997
29	3	7	0.083230004
30	3	8	0.078230001
31	3	9	0.070699997
32	3	10	0.064470001
33	3	11	0.05717
34	4	1	0.1051
35	4	2	0.10837
36	4	3	0.1108
37	4	4	0.11041
38	4	5	0.10789
39	4	6	0.10421
40	4	7	0.098030001
41	4	8	0.090580001
42	4	9	0.083159998
43	4	10	0.075479999
44	4	11	0.067539997
