Point	Row	Column	_s_Position
1	1	1	0.19592696
2	1	2	0.19421193
3	1	3	0.1954294
4	1	4	0.19389856
5	1	5	0.19437437
6	1	6	0.19479153
7	1	7	0.19648573
8	1	8	0.19822299
9	1	9	0.19760385
10	1	10	0.19406033
11	1	11	0.18251342
12	2	1	0.19510438
13	2	2	0.19497414
14	2	3	0.19363734
15	2	4	0.19443254
16	2	5	0.19404222
17	2	6	0.19482642
18	2	7	0.19455913
19	2	8	0.19785604
20	2	9	0.19688691
21	2	10	0.19320633
22	2	11	0.18349288
23	3	1	0.19644877
24	3	2	0.1968154
25	3	3	0.1949181
26	3	4	0.19443303
27	3	5	0.19764408
28	3	6	0.1948216
29	3	7	0.19717126
30	3	8	0.19632599
31	3	9	0.1980966
32	3	10	0.1909685
33	3	11	0.18099418
34	4	1	0.19713223
35	4	2	0.19667226
36	4	3	0.19838871
37	4	4	0.19683258
38	4	5	0.19778432
39	4	6	0.19805017
40	4	7	0.19739929
41	4	8	0.19767489
42	4	9	0.1986516
43	4	10	0.19657147
44	4	11	0.18702689
