Point	Row	Column	Co_at
1	1	1	0.025935601
2	1	2	0.02306913
3	1	3	0.02393619
4	1	4	0.028095579
5	1	5	0.0235443
6	1	6	0.022883253
7	1	7	0.023659578
8	1	8	0.021741325
9	1	9	0.023431474
10	1	10	0.025382843
11	1	11	0.027176663
12	2	1	0.026264569
13	2	2	0.024706675
14	2	3	0.02499425
15	2	4	0.024621649
16	2	5	0.025540395
17	2	6	0.025069654
18	2	7	0.025243305
19	2	8	0.024662191
20	2	9	0.025885383
21	2	10	0.02587777
22	2	11	0.022931743
23	3	1	0.024794091
24	3	2	0.024507951
25	3	3	0.021244487
26	3	4	0.022512155
27	3	5	0.022300631
28	3	6	0.022041611
29	3	7	0.023058904
30	3	8	0.023317775
31	3	9	0.022937933
32	3	10	0.022655826
33	3	11	0.022487637
34	4	1	0.021346906
35	4	2	0.021027843
36	4	3	0.01986541
37	4	4	0.020373713
38	4	5	0.022365082
39	4	6	0.019655937
40	4	7	0.02149779
41	4	8	0.021957116
42	4	9	0.020677311
43	4	10	0.023119561
44	4	11	0.025156341
