Point	Row	Column	_s_MaxIntensity
1	1	1	0.017814763
2	1	2	0.0352979
3	1	3	0.039325502
4	1	4	0.033726368
5	1	5	0.0364509
6	1	6	0.016136296
7	1	7	0.003375479
8	1	8	0.018110134
9	1	9	0.00097073283
10	1	10	0.0019979784
11	1	11	-0.01179343
12	2	1	0.070144027
13	2	2	0.06112485
14	2	3	0.05056696
15	2	4	0.054004252
16	2	5	0.072616793
17	2	6	0.06768328
18	2	7	0.043922942
19	2	8	0.039419927
20	2	9	0.034597926
21	2	10	0.029950846
22	2	11	0.016385524
23	3	1	0.071219005
24	3	2	0.073845647
25	3	3	0.085474007
26	3	4	0.075905837
27	3	5	0.081730746
28	3	6	0.072998002
29	3	7	0.06386669
30	3	8	0.059681524
31	3	9	0.046704002
32	3	10	0.033144154
33	3	11	0.028691938
34	4	1	0.070383854
35	4	2	0.074494891
36	4	3	0.068055332
37	4	4	0.070437908
38	4	5	0.07147298
39	4	6	0.060555093
40	4	7	0.053504474
41	4	8	0.05075378
42	4	9	0.030868767
43	4	10	0.037818052
44	4	11	0.018306937
