Point	Row	Column	_s_FWHM
1	1	1	0.96594357
2	1	2	0.98915964
3	1	3	0.99145311
4	1	4	0.97753519
5	1	5	0.9893623
6	1	6	0.97036982
7	1	7	0.9560563
8	1	8	0.97462749
9	1	9	0.95410776
10	1	10	0.95123231
11	1	11	0.93385327
12	2	1	1.0176148
13	2	2	1.0117115
14	2	3	1.0005784
15	2	4	1.004761
16	2	5	1.021536
17	2	6	1.0175439
18	2	7	0.99343634
19	2	8	0.99009556
20	2	9	0.98282719
21	2	10	0.97819531
22	2	11	0.97052205
23	3	1	1.0216309
24	3	2	1.0248297
25	3	3	1.0429851
26	3	4	1.0308815
27	3	5	1.0371295
28	3	6	1.0289148
29	3	7	1.0177488
30	3	8	1.013046
31	3	9	1.0008281
32	3	10	0.98783249
33	3	11	0.98371667
34	4	1	1.0276901
35	4	2	1.0324392
36	4	3	1.0283245
37	4	4	1.0296905
38	4	5	1.0267428
39	4	6	1.0212432
40	4	7	1.0105089
41	4	8	1.0068395
42	4	9	0.98951411
43	4	10	0.99157894
44	4	11	0.96799427
