Point	Row	Column	MaxInt_110
1	1	1	
2	1	2	
3	1	3	1642.1852
4	1	4	1491.6388
5	1	5	1380.4573
6	1	6	1337.8643
7	1	7	1822.5439
8	1	8	2866.0127
9	1	9	
10	1	10	
11	1	11	
12	2	1	2429.4792
13	2	2	894.23102
14	2	3	552.49048
15	2	4	359.10321
16	2	5	333.93823
17	2	6	417.48923
18	2	7	494.77502
19	2	8	700.87012
20	2	9	1124.4241
21	2	10	
22	2	11	
23	3	1	3814.8975
24	3	2	1804.4658
25	3	3	1201.4203
26	3	4	933.76135
27	3	5	759.47986
28	3	6	641.79535
29	3	7	835.4577
30	3	8	1050.4108
31	3	9	1467.8829
32	3	10	
33	3	11	
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	
40	4	7	
41	4	8	
42	4	9	
43	4	10	
44	4	11	
