Point	Row	Column	Pos_111
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	37.767815
9	1	9	37.765614
10	1	10	37.767799
11	1	11	37.718483
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	37.67799
20	2	9	37.716869
21	2	10	37.746281
22	2	11	37.689781
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	37.682346
31	3	9	37.70237
32	3	10	37.698559
33	3	11	37.640976
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	
40	4	7	37.646099
41	4	8	37.687145
42	4	9	37.713345
43	4	10	37.678425
44	4	11	37.652317
