Point	Row	Column	FWHM_200
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	0.70219606
7	1	7	0.63034725
8	1	8	0.67381632
9	1	9	0.70714533
10	1	10	
11	1	11	0.98301041
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	0.65090287
19	2	8	0.65344417
20	2	9	0.82204944
21	2	10	0.75416309
22	2	11	
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	0.62115389
30	3	8	0.68927687
31	3	9	0.82068747
32	3	10	0.89931828
33	3	11	0.80517238
34	4	1	0.48552433
35	4	2	
36	4	3	
37	4	4	0.72740042
38	4	5	0.67960262
39	4	6	0.6461097
40	4	7	0.70283717
41	4	8	0.7414881
42	4	9	
43	4	10	
44	4	11	
