Point	Row	Column	_s_FWHM
1	1	1	0.33426863
2	1	2	0.34596226
3	1	3	0.35939726
4	1	4	0.36874002
5	1	5	0.38792264
6	1	6	0.40048668
7	1	7	0.41758403
8	1	8	0.43352038
9	1	9	0.44368428
10	1	10	0.4553237
11	1	11	0.44724199
12	2	1	0.34268871
13	2	2	0.35380608
14	2	3	0.36884895
15	2	4	0.38273981
16	2	5	0.40214762
17	2	6	0.41932946
18	2	7	0.43814772
19	2	8	0.45328394
20	2	9	0.47248983
21	2	10	0.48233926
22	2	11	0.49130026
23	3	1	0.34501326
24	3	2	0.35932082
25	3	3	0.37894046
26	3	4	0.39320338
27	3	5	0.41908476
28	3	6	0.43526185
29	3	7	0.44748554
30	3	8	0.46157482
31	3	9	0.48378786
32	3	10	0.49176747
33	3	11	0.50542253
34	4	1	0.33643445
35	4	2	0.36691308
36	4	3	0.37577128
37	4	4	0.38718519
38	4	5	0.40762252
39	4	6	0.42711309
40	4	7	0.43348345
41	4	8	0.45772749
42	4	9	0.46420982
43	4	10	0.47312656
44	4	11	0.47886583
