Point	Row	Column	_s_MaxIntensity
1	1	1	0.016603969
2	1	2	0.023093874
3	1	3	0.021659048
4	1	4	0.028066162
5	1	5	0.032802287
6	1	6	0.037504286
7	1	7	0.040981364
8	1	8	0.046991304
9	1	9	0.047915529
10	1	10	0.055486117
11	1	11	0.094951943
12	2	1	0.016209697
13	2	2	0.019078324
14	2	3	0.019058157
15	2	4	0.020276651
16	2	5	0.028151631
17	2	6	0.030575065
18	2	7	0.034426518
19	2	8	0.042374209
20	2	9	0.04682076
21	2	10	0.04983544
22	2	11	0.058406275
23	3	1	0.019340018
24	3	2	0.017450498
25	3	3	0.02314497
26	3	4	0.023107776
27	3	5	0.030030791
28	3	6	0.034015372
29	3	7	0.032412652
30	3	8	0.034117907
31	3	9	0.044586614
32	3	10	0.043985177
33	3	11	0.059915848
34	4	1	0.021645373
35	4	2	0.031616241
36	4	3	0.029066095
37	4	4	0.025623851
38	4	5	0.030988537
39	4	6	0.03669785
40	4	7	0.03295482
41	4	8	0.040849794
42	4	9	0.041390799
43	4	10	0.043563657
44	4	11	0.066078998
