Point	Row	Column	a_Ang
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	4.1378622
7	1	7	4.1276302
8	1	8	4.1179228
9	1	9	4.1182427
10	1	10	4.1192613
11	1	11	4.1240492
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	4.1327686
19	2	8	4.1296711
20	2	9	4.1240282
21	2	10	4.1218019
22	2	11	4.1279263
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	4.1372724
30	3	8	4.1311259
31	3	9	4.1273079
32	3	10	4.1256528
33	3	11	4.1319623
34	4	1	4.1282239
35	4	2	4.1310935
36	4	3	
37	4	4	4.1320777
38	4	5	4.1356664
39	4	6	4.1388679
40	4	7	4.131155
41	4	8	4.1283717
42	4	9	4.1263356
43	4	10	4.1274004
44	4	11	4.1325054
