Point	Row	Column	Pos_110
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	30.516003
7	1	7	30.593498
8	1	8	30.667387
9	1	9	30.664948
10	1	10	30.657179
11	1	11	30.620714
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	30.554533
19	2	8	30.578011
20	2	9	30.620874
21	2	10	30.637817
22	2	11	30.591248
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	30.52046
30	3	8	30.566977
31	3	9	30.595943
32	3	10	30.608519
33	3	11	30.56064
34	4	1	30.588991
35	4	2	30.567223
36	4	3	
37	4	4	30.559765
38	4	5	30.532602
39	4	6	30.50841
40	4	7	30.566757
41	4	8	30.587868
42	4	9	30.603331
43	4	10	30.595242
44	4	11	30.556524
