Point	Row	Column	110_s_Area
1	1	1	0.68059713
2	1	2	0.67296839
3	1	3	0.66028464
4	1	4	0.65159112
5	1	5	0.63948584
6	1	6	0.63212836
7	1	7	0.61528653
8	1	8	0.60607475
9	1	9	0.59388012
10	1	10	0.58890015
11	1	11	0.63686866
12	2	1	0.66905373
13	2	2	0.66033727
14	2	3	0.64610875
15	2	4	0.63388687
16	2	5	0.61970806
17	2	6	0.60512584
18	2	7	0.5901171
19	2	8	0.58048463
20	2	9	0.56654429
21	2	10	0.55786872
22	2	11	0.55670321
23	3	1	0.67077076
24	3	2	0.65421778
25	3	3	0.63923591
26	3	4	0.62505269
27	3	5	0.60576683
28	3	6	0.59164745
29	3	7	0.57565016
30	3	8	0.56334919
31	3	9	0.55063921
32	3	10	0.54351085
33	3	11	0.54255164
34	4	1	0.67817873
35	4	2	0.65900248
36	4	3	0.64701879
37	4	4	0.62975848
38	4	5	0.61588395
39	4	6	0.59880644
40	4	7	0.58908778
41	4	8	0.57082886
42	4	9	0.56535286
43	4	10	0.55695879
44	4	11	0.57440746
