Point	Row	Column	_s_Area
1	1	1	0.34116769
2	1	2	0.3385658
3	1	3	0.33113089
4	1	4	0.32966307
5	1	5	0.32243982
6	1	6	0.3185088
7	1	7	0.31169868
8	1	8	0.30673546
9	1	9	0.30211562
10	1	10	0.30008122
11	1	11	0.32385498
12	2	1	0.33676049
13	2	2	0.33263612
14	2	3	0.32510459
15	2	4	0.31876841
16	2	5	0.31300199
17	2	6	0.30562282
18	2	7	0.29813939
19	2	8	0.29454514
20	2	9	0.28716546
21	2	10	0.28374809
22	2	11	0.283553
23	3	1	0.33716339
24	3	2	0.32906485
25	3	3	0.32210225
26	3	4	0.31495219
27	3	5	0.30547303
28	3	6	0.29937676
29	3	7	0.29246357
30	3	8	0.28627154
31	3	9	0.28039938
32	3	10	0.27610886
33	3	11	0.27724665
34	4	1	0.34260547
35	4	2	0.3323516
36	4	3	0.3266474
37	4	4	0.31921932
38	4	5	0.311683
39	4	6	0.30479237
40	4	7	0.2997357
41	4	8	0.29156116
42	4	9	0.28859049
43	4	10	0.28521854
44	4	11	0.29360658
