Point	Row	Column	d_um
1	1	1	0.17037
2	1	2	0.17975
3	1	3	0.18701001
4	1	4	0.18997
5	1	5	0.19025999
6	1	6	0.18697999
7	1	7	0.18133999
8	1	8	0.17264999
9	1	9	0.16367
10	1	10	0.15126
11	1	11	0.14069
12	2	1	0.20574
13	2	2	0.21907
14	2	3	0.23194
15	2	4	0.23830999
16	2	5	0.24139
17	2	6	0.23824
18	2	7	0.23164
19	2	8	0.22048999
20	2	9	0.20612
21	2	10	0.19141001
22	2	11	0.17545
23	3	1	0.19366001
24	3	2	0.2084
25	3	3	0.22095001
26	3	4	0.22901
27	3	5	0.23478
28	3	6	0.23337001
29	3	7	0.22824
30	3	8	0.22051001
31	3	9	0.20863
32	3	10	0.19348
33	3	11	0.17838
34	4	1	0.14721
35	4	2	0.15767001
36	4	3	0.16505
37	4	4	0.17214
38	4	5	0.17648
39	4	6	0.17765
40	4	7	0.17523
41	4	8	0.17218
42	4	9	0.16606
43	4	10	0.15724
44	4	11	0.14760999
