Point	Row	Column	Zr_at
1	1	1	0.16713431
2	1	2	0.17298113
3	1	3	0.17969863
4	1	4	0.18437001
5	1	5	0.19396132
6	1	6	0.20024334
7	1	7	0.20879202
8	1	8	0.21676019
9	1	9	0.22184214
10	1	10	0.22766185
11	1	11	0.223621
12	2	1	0.17134435
13	2	2	0.17690304
14	2	3	0.18442447
15	2	4	0.19136991
16	2	5	0.20107381
17	2	6	0.20966473
18	2	7	0.21907386
19	2	8	0.22664197
20	2	9	0.23624492
21	2	10	0.24116963
22	2	11	0.24565013
23	3	1	0.17250663
24	3	2	0.17966041
25	3	3	0.18947023
26	3	4	0.19660169
27	3	5	0.20954238
28	3	6	0.21763092
29	3	7	0.22374277
30	3	8	0.23078741
31	3	9	0.24189393
32	3	10	0.24588373
33	3	11	0.25271127
34	4	1	0.16821723
35	4	2	0.18345654
36	4	3	0.18788564
37	4	4	0.19359259
38	4	5	0.20381126
39	4	6	0.21355654
40	4	7	0.21674173
41	4	8	0.22886375
42	4	9	0.23210491
43	4	10	0.23656328
44	4	11	0.23943292
