Point	Row	Column	Ratio_200_110
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	0.50379711
7	1	7	0.25072911
8	1	8	0.10991533
9	1	9	0.096972212
10	1	10	
11	1	11	0.095246524
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	0.51626587
19	2	8	0.17376152
20	2	9	0.10374194
21	2	10	0.083037563
22	2	11	
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	0.38886768
30	3	8	0.11893461
31	3	9	0.073895074
32	3	10	0.07196743
33	3	11	0.088395134
34	4	1	0.3870734
35	4	2	
36	4	3	
37	4	4	0.41987449
38	4	5	0.38330609
39	4	6	0.28007254
40	4	7	0.1361077
41	4	8	0.078237802
42	4	9	
43	4	10	
44	4	11	
