Point	Row	Column	Fe_at
1	1	1	0.34029856
2	1	2	0.33648419
3	1	3	0.33014232
4	1	4	0.32579556
5	1	5	0.31974292
6	1	6	0.31606418
7	1	7	0.30764326
8	1	8	0.30303738
9	1	9	0.29694006
10	1	10	0.29445007
11	1	11	0.31843433
12	2	1	0.33452687
13	2	2	0.33016863
14	2	3	0.32305437
15	2	4	0.31694344
16	2	5	0.30985403
17	2	6	0.30256292
18	2	7	0.29505855
19	2	8	0.29024231
20	2	9	0.28327215
21	2	10	0.27893436
22	2	11	0.2783516
23	3	1	0.33538538
24	3	2	0.32710889
25	3	3	0.31961796
26	3	4	0.31252635
27	3	5	0.30288342
28	3	6	0.29582372
29	3	7	0.28782508
30	3	8	0.28167459
31	3	9	0.27531961
32	3	10	0.27175543
33	3	11	0.27127582
34	4	1	0.33908936
35	4	2	0.32950124
36	4	3	0.3235094
37	4	4	0.31487924
38	4	5	0.30794197
39	4	6	0.29940322
40	4	7	0.29454389
41	4	8	0.28541443
42	4	9	0.28267643
43	4	10	0.2784794
44	4	11	0.28720373
