Point	Row	Column	PeakArea_110
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	2.257406
7	1	7	6.086596
8	1	8	8.2915974
9	1	9	8.3348274
10	1	10	8.5715275
11	1	11	8.1205816
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	2.3754623
19	2	8	8.217
20	2	9	8.5187397
21	2	10	8.6047068
22	2	11	8.3375101
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	3.9544017
30	3	8	9.0940752
31	3	9	8.9831295
32	3	10	8.8038549
33	3	11	8.7292185
34	4	1	2.6024165
35	4	2	1.3348447
36	4	3	
37	4	4	1.6070698
38	4	5	3.2588139
39	4	6	5.7114716
40	4	7	8.7376814
41	4	8	9.2873116
42	4	9	9.4273939
43	4	10	9.1474409
44	4	11	9.3148041
