Point	Row	Column	Norm_d
1	1	1	0.29473683
2	1	2	0.3878848
3	1	3	0.45998013
4	1	4	0.48937437
5	1	5	0.49225423
6	1	6	0.45968223
7	1	7	0.40367427
8	1	8	0.31737834
9	1	9	0.22820258
10	1	10	0.10496524
11	1	11	0
12	2	1	0.64597815
13	2	2	0.77835155
14	2	3	0.9061569
15	2	4	0.96941411
16	2	5	1
17	2	6	0.96871895
18	2	7	0.90317774
19	2	8	0.79245281
20	2	9	0.64975172
21	2	10	0.50367427
22	2	11	0.3451837
23	3	1	0.5260179
24	3	2	0.67239326
25	3	3	0.79702085
26	3	4	0.87706059
27	3	5	0.93435949
28	3	6	0.92035753
29	3	7	0.86941409
30	3	8	0.79265141
31	3	9	0.67467725
32	3	10	0.52423036
33	3	11	0.37428004
34	4	1	0.064746775
35	4	2	0.16861966
36	4	3	0.24190666
37	4	4	0.3123138
38	4	5	0.35541213
39	4	6	0.3670308
40	4	7	0.34299901
41	4	8	0.31271103
42	4	9	0.25193644
43	4	10	0.16434956
44	4	11	0.06871897
