Point	Row	Column	MaxInt_200
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	345.58914
7	1	7	556.7915
8	1	8	319.53082
9	1	9	251.01334
10	1	10	
11	1	11	206.19499
12	2	1	
13	2	2	
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	446.61853
19	2	8	631.34235
20	2	9	348.65768
21	2	10	239.67245
22	2	11	
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	591.09912
30	3	8	497.86304
31	3	9	251.51086
32	3	10	213.86958
33	3	11	254.6786
34	4	1	269.94882
35	4	2	
36	4	3	
37	4	4	204.02965
38	4	5	368.27545
39	4	6	535.60602
40	4	7	425.57983
41	4	8	243.9032
42	4	9	
43	4	10	
44	4	11	
