Point	Row	Column	Zr_at
1	1	1	0.06892851
2	1	2	0.069214888
3	1	3	0.064432435
4	1	4	0.06749703
5	1	5	0.060232434
6	1	6	0.062054601
7	1	7	0.062385906
8	1	8	0.056414552
9	1	9	0.057135113
10	1	10	0.058605615
11	1	11	0.056666113
12	2	1	0.078958474
13	2	2	0.075153023
14	2	3	0.075373895
15	2	4	0.074562646
16	2	5	0.072989367
17	2	6	0.069095045
18	2	7	0.069354005
19	2	8	0.071654744
20	2	9	0.068373553
21	2	10	0.065221384
22	2	11	0.061564948
23	3	1	0.07499624
24	3	2	0.078746065
25	3	3	0.076853193
26	3	4	0.076553993
27	3	5	0.075284556
28	3	6	0.076447099
29	3	7	0.075437069
30	3	8	0.074061543
31	3	9	0.074800447
32	3	10	0.068955496
33	3	11	0.067356788
34	4	1	0.065609507
35	4	2	0.066794597
36	4	3	0.06970489
37	4	4	0.070262536
38	4	5	0.072836205
39	4	6	0.069528796
40	4	7	0.067719556
41	4	8	0.068603091
42	4	9	0.070626371
43	4	10	0.068419956
44	4	11	0.068283275
