Point	Row	Column	d_um
1	1	1	0.17566
2	1	2	0.17964
3	1	3	0.17914
4	1	4	0.17842001
5	1	5	0.171
6	1	6	0.16005
7	1	7	0.14911
8	1	8	0.13422
9	1	9	0.11997
10	1	10	0.10684
11	1	11	0.0933
12	2	1	0.20406
13	2	2	0.20911001
14	2	3	0.21294001
15	2	4	0.21270999
16	2	5	0.20629001
17	2	6	0.19750001
18	2	7	0.18550999
19	2	8	0.17036
20	2	9	0.15466
21	2	10	0.13716
22	2	11	0.11906
23	3	1	0.18356
24	3	2	0.19160999
25	3	3	0.19746999
26	3	4	0.19834
27	3	5	0.19573
28	3	6	0.18832
29	3	7	0.17905
30	3	8	0.16534001
31	3	9	0.15227
32	3	10	0.13649
33	3	11	0.12199
34	4	1	0.12938
35	4	2	0.1366
36	4	3	0.14217
37	4	4	0.14685
38	4	5	0.14861999
39	4	6	0.14524999
40	4	7	0.14182
41	4	8	0.13517
42	4	9	0.12513
43	4	10	0.11479
44	4	11	0.10402
