Point	Row	Column	MaxInt_200
1	1	1	300.79776
2	1	2	242.44373
3	1	3	240.57744
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	
11	1	11	
12	2	1	
13	2	2	
14	2	3	209.15254
15	2	4	232.40195
16	2	5	220.27831
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	
24	3	2	
25	3	3	
26	3	4	212.3213
27	3	5	315.67795
28	3	6	328.2338
29	3	7	365.89349
30	3	8	
31	3	9	
32	3	10	
33	3	11	
34	4	1	460.36539
35	4	2	459.38995
36	4	3	448.31711
37	4	4	258.28677
38	4	5	213.79674
39	4	6	
40	4	7	
41	4	8	
42	4	9	
43	4	10	
44	4	11	
