Point	Row	Column	Co_at
1	1	1	0.23207571
2	1	2	0.24670348
3	1	3	0.25825301
4	1	4	0.27077591
5	1	5	0.28549451
6	1	6	0.29907057
7	1	7	0.31311271
8	1	8	0.32754299
9	1	9	0.33939031
10	1	10	0.35079637
11	1	11	0.35503155
12	2	1	0.22847202
13	2	2	0.23961568
14	2	3	0.25432852
15	2	4	0.27010211
16	2	5	0.28484407
17	2	6	0.30171564
18	2	7	0.31644601
19	2	8	0.33199254
20	2	9	0.345366
21	2	10	0.3544268
22	2	11	0.36410511
23	3	1	0.2359971
24	3	2	0.24791101
25	3	3	0.26275942
26	3	4	0.27738863
27	3	5	0.29113957
28	3	6	0.3083815
29	3	7	0.3253389
30	3	8	0.33780438
31	3	9	0.3517195
32	3	10	0.35895979
33	3	11	0.3658646
34	4	1	0.24793462
35	4	2	0.26031041
36	4	3	0.27201286
37	4	4	0.28463334
38	4	5	0.29854739
39	4	6	0.3124283
40	4	7	0.32533112
41	4	8	0.33626968
42	4	9	0.34590146
43	4	10	0.35512257
44	4	11	0.35896617
