Point	Row	Column	d_um
1	1	1	0.18295
2	1	2	0.19585001
3	1	3	0.20848
4	1	4	0.21717998
5	1	5	0.22477999
6	1	6	0.22762002
7	1	7	0.22774
8	1	8	0.22473
9	1	9	0.21775
10	1	10	0.20826001
11	1	11	0.19865999
12	2	1	0.21630998
13	2	2	0.23783003
14	2	3	0.25494999
15	2	4	0.26769
16	2	5	0.28106004
17	2	6	0.28887996
18	2	7	0.29276001
19	2	8	0.28971997
20	2	9	0.28544
21	2	10	0.27557001
22	2	11	0.25997999
23	3	1	0.19891
24	3	2	0.21766999
25	3	3	0.23338997
26	3	4	0.24994998
27	3	5	0.26288003
28	3	6	0.27344999
29	3	7	0.27862
30	3	8	0.28219002
31	3	9	0.27844
32	3	10	0.27271
33	3	11	0.25972
34	4	1	0.14497998
35	4	2	0.15662
36	4	3	0.16779001
37	4	4	0.17865998
38	4	5	0.18871
39	4	6	0.19614001
40	4	7	0.20199998
41	4	8	0.20444003
42	4	9	0.20546003
43	4	10	0.20286003
44	4	11	0.19696002
