Point	Row	Column	FWHM_110
1	1	1	0.51057261
2	1	2	0.49495235
3	1	3	0.50102979
4	1	4	0.47823131
5	1	5	0.44950086
6	1	6	0.45713627
7	1	7	0.45332608
8	1	8	0.45306298
9	1	9	0.45641252
10	1	10	0.45154595
11	1	11	0.45466462
12	2	1	0.46764305
13	2	2	0.47807652
14	2	3	0.49072719
15	2	4	0.48565018
16	2	5	0.48999494
17	2	6	0.49649891
18	2	7	0.49003246
19	2	8	0.49883348
20	2	9	0.50774115
21	2	10	0.45425597
22	2	11	0.4512375
23	3	1	0.49483174
24	3	2	0.50839132
25	3	3	0.50429416
26	3	4	0.49797058
27	3	5	0.49604833
28	3	6	0.49556658
29	3	7	0.48403847
30	3	8	0.47544265
31	3	9	0.49908134
32	3	10	0.4427889
33	3	11	0.43413877
34	4	1	0.51349455
35	4	2	0.51720929
36	4	3	0.51711541
37	4	4	0.54409105
38	4	5	0.50260055
39	4	6	0.48832822
40	4	7	0.4934358
41	4	8	0.48420805
42	4	9	0.4763155
43	4	10	0.46467322
44	4	11	0.46355653
