Point	Row	Column	_s_MaxIntensity
1	1	1	0.080564402
2	1	2	0.072590292
3	1	3	0.0719826
4	1	4	0.072079308
5	1	5	0.063467599
6	1	6	0.061473694
7	1	7	0.058672
8	1	8	0.0550078
9	1	9	0.0505712
10	1	10	0.043708697
11	1	11	0.050682504
12	2	1	0.080902308
13	2	2	0.086269893
14	2	3	0.082404912
15	2	4	0.081060998
16	2	5	0.078299493
17	2	6	0.072439305
18	2	7	0.0668566
19	2	8	0.061908707
20	2	9	0.061268199
21	2	10	0.055358201
22	2	11	0.056074601
23	3	1	0.082649797
24	3	2	0.0846342
25	3	3	0.081283309
26	3	4	0.073456705
27	3	5	0.075295694
28	3	6	0.070404403
29	3	7	0.067318402
30	3	8	0.067210294
31	3	9	0.062329799
32	3	10	0.059087001
33	3	11	0.062118798
34	4	1	0.061998107
35	4	2	0.068357199
36	4	3	0.06473989
37	4	4	0.063199908
38	4	5	0.064994797
39	4	6	0.063010201
40	4	7	0.058683705
41	4	8	0.056114294
42	4	9	0.055599693
43	4	10	0.053867694
44	4	11	0.049925696
