Point	Row	Column	Y_at
1	1	1	0.080442697
2	1	2	0.074071094
3	1	3	0.070555203
4	1	4	0.064601108
5	1	5	0.058825798
6	1	6	0.054474793
7	1	7	0.051356401
8	1	8	0.044587102
9	1	9	0.039321899
10	1	10	0.033348396
11	1	11	0.032441504
12	2	1	0.081342906
13	2	2	0.07985089
14	2	3	0.072664008
15	2	4	0.070493802
16	2	5	0.062634997
17	2	6	0.055600304
18	2	7	0.050866
19	2	8	0.042829406
20	2	9	0.0406195
21	2	10	0.0351271
22	2	11	0.0302049
23	3	1	0.081409298
24	3	2	0.076098599
25	3	3	0.07014171
26	3	4	0.065062009
27	3	5	0.061150495
28	3	6	0.053395499
29	3	7	0.048882101
30	3	8	0.043136496
31	3	9	0.037609801
32	3	10	0.0344982
33	3	11	0.0309081
34	4	1	0.069951706
35	4	2	0.070292503
36	4	3	0.066082291
37	4	4	0.060599107
38	4	5	0.0565603
39	4	6	0.052510802
40	4	7	0.046555605
41	4	8	0.042699195
42	4	9	0.039819296
43	4	10	0.035993397
44	4	11	0.032036796
