Point	Row	Column	a_Ang
1	1	1	4.1443429
2	1	2	4.1407638
3	1	3	4.1384559
4	1	4	4.1414561
5	1	5	4.1374049
6	1	6	4.1302319
7	1	7	4.1257539
8	1	8	4.1223989
9	1	9	4.1191287
10	1	10	4.114356
11	1	11	4.1118803
12	2	1	4.1646523
13	2	2	4.1533561
14	2	3	4.1410275
15	2	4	4.1340837
16	2	5	4.1276903
17	2	6	4.1225853
18	2	7	4.1185603
19	2	8	4.116292
20	2	9	4.1180706
21	2	10	4.1186557
22	2	11	4.1135955
23	3	1	4.1532812
24	3	2	4.1425452
25	3	3	4.1348071
26	3	4	4.1288342
27	3	5	4.1229835
28	3	6	4.1179066
29	3	7	4.1140318
30	3	8	4.1128631
31	3	9	4.1154275
32	3	10	4.1172056
33	3	11	4.1117973
34	4	1	4.1366072
35	4	2	4.1326766
36	4	3	4.1290779
37	4	4	4.1250024
38	4	5	4.1250925
39	4	6	4.1285043
40	4	7	4.1245346
41	4	8	4.1201863
42	4	9	4.1206622
43	4	10	4.1226926
44	4	11	4.1201668
