Point	Row	Column	Fe_at
1	1	1	0.018159
2	1	2	0.015528599
3	1	3	0.0140527
4	1	4	0.014872702
5	1	5	0.0129873
6	1	6	0.011883698
7	1	7	0.0110182
8	1	8	0.0094480999
9	1	9	0.0093622999
10	1	10	0.011437899
11	1	11	0.016598601
12	2	1	0.017286902
13	2	2	0.015357198
14	2	3	0.015069202
15	2	4	0.0138238
16	2	5	0.012622799
17	2	6	0.010795801
18	2	7	0.0096626999
19	2	8	0.0089085009
20	2	9	0.0082131
21	2	10	0.0088488003
22	2	11	0.0128593
23	3	1	0.016426001
24	3	2	0.015793201
25	3	3	0.014207302
26	3	4	0.013135201
27	3	5	0.012181999
28	3	6	0.0113511
29	3	7	0.0094891004
30	3	8	0.0083800992
31	3	9	0.0078934003
32	3	10	0.0083911
33	3	11	0.0127822
34	4	1	0.018123602
35	4	2	0.016547499
36	4	3	0.014857698
37	4	4	0.014525201
38	4	5	0.0131687
39	4	6	0.0115844
40	4	7	0.0099990014
41	4	8	0.0094727995
42	4	9	0.0095973993
43	4	10	0.011032399
44	4	11	0.015222198
