Point	Row	Column	PeakArea_110
1	1	1	14.546056
2	1	2	14.259809
3	1	3	14.701554
4	1	4	15.790404
5	1	5	16.192019
6	1	6	15.642296
7	1	7	15.188099
8	1	8	14.877448
9	1	9	14.682595
10	1	10	13.6238
11	1	11	13.489304
12	2	1	16.013937
13	2	2	14.584642
14	2	3	14.144189
15	2	4	14.09978
16	2	5	13.773878
17	2	6	13.409731
18	2	7	13.407159
19	2	8	13.086198
20	2	9	12.848286
21	2	10	14.042749
22	2	11	13.852128
23	3	1	15.118993
24	3	2	13.385992
25	3	3	13.534911
26	3	4	13.356495
27	3	5	12.932418
28	3	6	13.005487
29	3	7	12.973055
30	3	8	13.950357
31	3	9	13.477255
32	3	10	14.436171
33	3	11	14.137523
34	4	1	9.7260008
35	4	2	9.4356499
36	4	3	10.432519
37	4	4	11.388571
38	4	5	13.973886
39	4	6	14.4318
40	4	7	14.310167
41	4	8	14.47063
42	4	9	13.958183
43	4	10	14.420707
44	4	11	14.881657
