Point	Row	Column	110_s_MaxIntensity
1	1	1	0.65041548
2	1	2	0.70270503
3	1	3	0.7509194
4	1	4	0.79302233
5	1	5	0.82696736
6	1	6	0.85086846
7	1	7	0.86319155
8	1	8	0.86294383
9	1	9	0.849823
10	1	10	0.82429129
11	1	11	0.78755325
12	2	1	0.75189
13	2	2	0.81343424
14	2	3	0.8700754
15	2	4	0.91937745
16	2	5	0.95889533
17	2	6	0.98637789
18	2	7	1
19	2	8	0.99859571
20	2	9	0.98184294
21	2	10	0.95035607
22	2	11	0.90565616
23	3	1	0.74937958
24	3	2	0.80856395
25	3	3	0.86249352
26	3	4	0.90886509
27	3	5	0.94541234
28	3	6	0.97008991
29	3	7	0.98128027
30	3	8	0.97799736
31	3	9	0.96004611
32	3	10	0.92809826
33	3	11	0.88365883
34	4	1	0.64403695
35	4	2	0.69078565
36	4	3	0.73270929
37	4	4	0.7680158
38	4	5	0.79511732
39	4	6	0.81256372
40	4	7	0.81927705
41	4	8	0.81466049
42	4	9	0.79869366
43	4	10	0.7719717
44	4	11	0.73567355
