Point	Row	Column	_s_Area
1	1	1	0.25023469
2	1	2	0.26223207
3	1	3	0.2723057
4	1	4	0.28564861
5	1	5	0.29848179
6	1	6	0.31095427
7	1	7	0.32413089
8	1	8	0.3369911
9	1	9	0.34875259
10	1	10	0.36223426
11	1	11	0.37163013
12	2	1	0.24575892
13	2	2	0.25497288
14	2	3	0.26939774
15	2	4	0.28392589
16	2	5	0.29746687
17	2	6	0.31251144
18	2	7	0.32610869
19	2	8	0.34090105
20	2	9	0.3535791
21	2	10	0.36327559
22	2	11	0.37696439
23	3	1	0.25242311
24	3	2	0.26370421
25	3	3	0.27696672
26	3	4	0.29052383
27	3	5	0.30332157
28	3	6	0.31973261
29	3	7	0.33482799
30	3	8	0.34618446
31	3	9	0.35961291
32	3	10	0.36735091
33	3	11	0.37864679
34	4	1	0.26605824
35	4	2	0.27685791
36	4	3	0.28687057
37	4	4	0.29915854
38	4	5	0.31171611
39	4	6	0.3240127
40	4	7	0.33533013
41	4	8	0.34574246
42	4	9	0.35549885
43	4	10	0.36615497
44	4	11	0.37418836
